"c_country","name_0","filing_date"
12,"Germany","2008-12-06"
12,"Germany","2008-12-15"
9,"Germany","2008-12-16"
4,"Germany","2008-12-17"
49,"Germany","2008-12-18"
16,"Germany","2008-12-19"
4,"Germany","2008-12-22"
4,"Germany","2008-12-23"
4,"Germany","2008-12-24"
12,"Germany","2008-12-30"
1,"Greece","2008-05-30"
3,"Greece","2008-09-10"
3,"Hungary","2008-05-20"
2,"India","2008-03-03"
4,"India","2008-03-04"
3,"India","2008-04-17"
4,"India","2008-04-28"
8,"India","2008-05-19"
24,"India","2008-06-12"
1,"India","2008-06-27"
2,"India","2008-07-17"
4,"India","2008-08-08"
3,"India","2008-08-14"
2,"India","2008-09-01"
14,"India","2008-09-09"
2,"India","2008-10-08"
2,"India","2008-10-29"
1,"India","2008-11-28"
4,"India","2008-12-18"
3,"Ireland","2008-04-18"
2,"Ireland","2008-05-06"
1,"Ireland","2008-06-13"
2,"Ireland","2008-07-14"
1,"Israel","2008-01-08"
1,"Israel","2008-03-19"
1,"Israel","2008-04-13"
1,"Israel","2008-04-15"
1,"Israel","2008-04-27"
1,"Israel","2008-05-27"
3,"Israel","2008-06-11"
1,"Israel","2008-06-12"
2,"Israel","2008-07-09"
1,"Israel","2008-07-14"
3,"Israel","2008-07-30"
2,"Israel","2008-08-07"
2,"Israel","2008-08-12"
2,"Israel","2008-08-18"
2,"Israel","2008-09-22"
3,"Israel","2008-09-26"
6,"Israel","2008-09-29"
2,"Israel","2008-10-23"
2,"Israel","2008-11-23"
1,"Israel","2008-11-27"
2,"Israel","2008-12-17"
1,"Italy","2008-01-22"
2,"Italy","2008-02-05"
1,"Italy","2008-02-15"
10,"Italy","2008-03-05"
1,"Italy","2008-03-21"
1,"Italy","2008-04-11"
4,"Italy","2008-05-23"
4,"Japan","2008-01-07"
12,"Japan","2008-01-08"
2,"Japan","2008-01-09"
3,"Japan","2008-01-10"
13,"Japan","2008-01-11"
7,"Japan","2008-01-15"
14,"Japan","2008-01-16"
5,"Japan","2008-01-17"
4,"Japan","2008-01-18"
5,"Japan","2008-01-21"
12,"Japan","2008-01-22"
6,"Japan","2008-01-23"
57,"Japan","2008-01-24"
11,"Japan","2008-01-25"
2,"Japan","2008-01-28"
6,"Japan","2008-01-29"
24,"Japan","2008-01-30"
7,"Japan","2008-01-31"
2,"Japan","2008-02-01"
10,"Japan","2008-02-05"
23,"Japan","2008-02-06"
4,"Japan","2008-02-07"
14,"Japan","2008-02-08"
4,"Japan","2008-02-12"
8,"Japan","2008-02-14"
7,"Japan","2008-02-15"
1,"Japan","2008-02-16"
5,"Japan","2008-02-18"
3,"Japan","2008-02-19"
